"Município";"População_estimada"
"110001 Alta Floresta D'Oeste";22728
"110037 Alto Alegre dos Parecis";13255
"110040 Alto Paraíso";21847
"110034 Alvorada D'Oeste";14106
"110002 Ariquemes";109523
"110045 Buritis";40356
"110003 Cabixi";5188
"110060 Cacaulândia";6269
"110004 Cacoal";85893
"110070 Campo Novo de Rondônia";14266
"110080 Candeias do Jamari";27388
"110090 Castanheiras";2987
"110005 Cerejeiras";16204
"110092 Chupinguaia";11472
"110006 Colorado do Oeste";15544
"110007 Corumbiara";7220
"110008 Costa Marques";18798
"110094 Cujubim";26183
"110009 Espigão D'Oeste";32695
"110100 Governador Jorge Teixeira";7445
"110010 Guajará-Mirim";46556
"110110 Itapuã do Oeste";10641
"110011 Jaru";51620
"110012 Ji-Paraná";130009
"110013 Machadinho D'Oeste";40867
"110120 Ministro Andreazza";9559
"110130 Mirante da Serra";10818
"110140 Monte Negro";16007
"110014 Nova Brasilândia D'Oeste";20489
"110033 Nova Mamoré";31392
"110143 Nova União";6895
"110050 Novo Horizonte do Oeste";8329
"110015 Ouro Preto do Oeste";35737
"110145 Parecis";6198
"110018 Pimenta Bueno";36881
"110146 Pimenteiras do Oeste";2148
"110020 Porto Velho";539354
"110025 Presidente Médici";18571
"110147 Primavera de Rondônia";2776
"110026 Rio Crespo";3804
"110028 Rolim de Moura";55407
"110029 Santa Luzia D'Oeste";6216
"110148 São Felipe D'Oeste";5066
"110149 São Francisco do Guaporé";20681
"110032 São Miguel do Guaporé";23077
"110150 Seringueiras";11851
"110155 Teixeirópolis";4233
"110160 Theobroma";10395
"110170 Urupá";11272
"110175 Vale do Anari";11377
"110180 Vale do Paraíso";6656
"110030 Vilhena";102211
"120001 Acrelândia";15490
"120005 Assis Brasil";7534
"120010 Brasiléia";26702
"120013 Bujari";10420
"120017 Capixaba";12008
"120020 Cruzeiro do Sul";89072
"120025 Epitaciolândia";18696
"120030 Feijó";34884
"120032 Jordão";8473
"120033 Mâncio Lima";19311
"120034 Manoel Urbano";9581
"120035 Marechal Thaumaturgo";19299
"120038 Plácido de Castro";19955
"120080 Porto Acre";18824
"120039 Porto Walter";12241
"120040 Rio Branco";413418
"120042 Rodrigues Alves";19351
"120043 Santa Rosa do Purus";6717
"120050 Sena Madureira";46511
"120045 Senador Guiomard";23236
"120060 Tarauacá";43151
"120070 Xapuri";19596
"130002 Alvarães";16220
"130006 Amaturá";11736
"130008 Anamã";13956
"130010 Anori";21477
"130014 Apuí";22359
"130020 Atalaia do Norte";20398
"130030 Autazes";40290
"130040 Barcelos";27638
"130050 Barreirinha";32483
"130060 Benjamin Constant";43935
"130063 Beruri";20093
"130068 Boa Vista do Ramos";19626
"130070 Boca do Acre";34635
"130080 Borba";41748
"130083 Caapiranga";13283
"130090 Canutama";15807
"130100 Carauari";28508
"130110 Careiro";38348
"130115 Careiro da Várzea";30846
"130120 Coari";85910
"130130 Codajás";29168
"130140 Eirunepé";35700
"130150 Envira";20393
"130160 Fonte Boa";17005
"130165 Guajará";16937
"130170 Humaitá";56144
"130180 Ipixuna";30436
"130185 Iranduba";49011
