"Município","2017","2018","2019"
"110001 Alta Floresta D'Oeste",25437,23167,22945
"110037 Alto Alegre dos Parecis",14045,13227,13241
"110040 Alto Paraíso",20916,20999,21428
"110034 Alvorada D'Oeste",16747,14722,14411
"110002 Ariquemes",107345,106168,107863
"110045 Buritis",39044,38937,39654
"110003 Cabixi",6224,5438,5312
"110060 Cacaulândia",6460,6190,6230
"110004 Cacoal",88507,84813,85359
"110070 Campo Novo de Rondônia",14484,14009,14139
"110080 Candeias do Jamari",25266,25983,26693
"110090 Castanheiras",3550,3119,3052
"110005 Cerejeiras",17934,16444,16323
"110092 Chupinguaia",10593,10886,11182
"110006 Colorado do Oeste",18467,16227,15882
"110007 Corumbiara",8659,7567,7391
"110008 Costa Marques",17400,17855,18331
"110094 Cujubim",22443,24226,25215
"110009 Espigão D'Oeste",33030,32047,32374
"110100 Governador Jorge Teixeira",9745,8095,7767
"110010 Guajará-Mirim",47451,45783,46174
"110110 Itapuã do Oeste",10310,10272,10458
"110011 Jaru",55871,51933,51775
"110012 Ji-Paraná",132667,127907,128969
"110013 Machadinho D'Oeste",38609,39097,39991
"110120 Ministro Andreazza",10751,9762,9660
"110130 Mirante da Serra",12258,11080,10947
"110140 Monte Negro",16186,15695,15852
"110014 Nova Brasilândia D'Oeste",21747,20459,20474
"110033 Nova Mamoré",28891,29757,30583
"110143 Nova União",7769,7047,6970
"110050 Novo Horizonte do Oeste",10051,8751,8538
"110015 Ouro Preto do Oeste",39759,36340,36035
"110145 Parecis",5904,5947,6074
"110018 Pimenta Bueno",38051,36434,36660
"110146 Pimenteiras do Oeste",2410,2191,2169
"110020 Porto Velho",519436,519531,529544
"110025 Presidente Médici",22124,19409,18986
"110147 Primavera de Rondônia",3411,2939,2856
"110026 Rio Crespo",3829,3723,3764
"110028 Rolim de Moura",57074,54702,55058
"110029 Santa Luzia D'Oeste",8198,6781,6495
"110148 São Felipe D'Oeste",5994,5280,5172
"110149 São Francisco do Guaporé",19694,19842,20266
"110032 São Miguel do Guaporé",24181,22931,23005
"110150 Seringueiras",12653,11860,11856
"110155 Teixeirópolis",4931,4384,4308
"110160 Theobroma",11350,10494,10444
"110170 Urupá",13106,11665,11467
"110175 Vale do Anari",11149,11028,11204
"110180 Vale do Paraíso",8047,6998,6825
"110030 Vilhena",95630,97448,99854
"120001 Acrelândia",14366,15020,15256
"120005 Assis Brasil",6986,7300,7417
"120010 Brasiléia",24765,25848,26278
"120013 Bujari",9664,10111,10266
"120017 Capixaba",11136,11456,11733
"120020 Cruzeiro do Sul",82622,87673,88376
"120025 Epitaciolândia",17340,18122,18411
"120030 Feijó",32360,34675,34780
"120032 Jordão",7858,8159,8317
"120033 Mâncio Lima",17910,18638,18977
"120034 Manoel Urbano",8886,9336,9459
"120035 Marechal Thaumaturgo",17897,18430,18867
"120038 Plácido de Castro",18510,19565,19761
"120080 Porto Acre",17459,18180,18504
"120039 Porto Walter",11353,11720,11982
"120040 Rio Branco",383443,401155,407319
"120042 Rodrigues Alves",17945,18504,18930
"120043 Santa Rosa do Purus",6230,6362,6540
"120050 Sena Madureira",43139,45177,45848
"120045 Senador Guiomard",21552,22810,23024
"120060 Tarauacá",40024,41976,42567
"120070 Xapuri",18174,19048,19323
"130002 Alvarães",15908,15860,16041
"130006 Amaturá",11242,11332,11536
"130008 Anamã",12978,13269,13614
"130010 Anori",20196,20538,21010
"130014 Apuí",21406,21583,21973
"130020 Atalaia do Norte",19054,19438,19921
"130030 Autazes",38454,38830,39565
"130040 Barcelos",27743,27364,27502
"130050 Barreirinha",31542,31593,32041
"130060 Benjamin Constant",41329,42020,42984
"130063 Beruri",18978,19258,19679
"130068 Boa Vista do Ramos",18483,18781,19207
"130070 Boca do Acre",34176,33976,34308
"130080 Borba",40464,40565,41161
"130083 Caapiranga",12820,12877,13081
"130090 Canutama",15490,15450,15629
"130100 Carauari",28337,28076,28294
"130110 Careiro",37399,37384,37869
"130115 Careiro da Várzea",29190,29595,30225
"130120 Coari",84762,84272,85097
"130130 Codajás",27817,28100,28637
"130140 Eirunepé",34888,34840,35273
"130150 Envira",19492,19668,20033
"130160 Fonte Boa",19669,18221,17609
"130165 Guajará",16339,16416,16678
"130170 Humaitá",53383,54001,55080
"130180 Ipixuna",28299,28933,29689
"130185 Iranduba",47407,47571,48296
"130190 Itacoatiara",99854,99955,101337
"130195 Itamarati",8128,7888,7851
"130200 Itapiranga",9125,9064,9148
"130210 Japurá",4205,3265,2755
"130220 Juruá",13956,14312,14712
"130230 Jutaí",15824,14753,14317
"130240 Lábrea",44861,45245,46069
"130250 Manacapuru",96460,96236,97377
"130255 Manaquiri",30222,31147,32105
"130260 Manaus",2130264,2145444,2182763
"130270 Manicoré",54708,54907,55751
"130280 Maraã",18531,18186,18224
"130290 Maués",62212,62755,63905
"130300 Nhamundá",20902,20899,21173
"130310 Nova Olinda do Norte",36431,36721,37378
"130320 Novo Airão",18586,18974,19454
"130330 Novo Aripuanã",25112,25237,25644
"130340 Parintins",113832,113168,114273
"130350 Pauini",19597,19329,19426
"130353 Presidente Figueiredo",34574,35352,36279
"130356 Rio Preto da Eva",32001,32577,33347
"130360 Santa Isabel do Rio Negro",23765,24436,25156
"130370 Santo Antônio do Içá",23075,21966,21602
"130380 São Gabriel da Cachoeira",44553,44816,45564
"130390 São Paulo de Olivença",38047,38515,39299
"130395 São Sebastião do Uatumã",13421,13685,14020
"130400 Silves",9211,9110,9171
"130406 Tabatinga",63635,64488,65844
"130410 Tapauá",17930,17299,17156
"130420 Tefé",62021,60154,59849
"130423 Tonantins",18782,18610,18755
"130426 Uarini",13428,13387,13540
"130430 Urucará",16968,16383,16256
"130440 Urucurituba",22148,22537,23065
"140005 Alto Alegre",15933,15638,15510
"140002 Amajari",11560,12394,12796
"140010 Boa Vista",332020,375374,399213
"140015 Bonfim",11945,12257,12409
